,words,sentiment
0,Dick,[-1]
1,Jugendstil,[1]
2,Nemesis,[-1]
3,Renaissance,[1]
4,aan,[1]
5,aanbeden,[1]
6,aanbevelen,[1]
7,aanbeveling,[1]
8,aanbevelingen,[1]
9,aanbevolen,[1]
10,aanbidden,[1]
11,aanbieden,[1]
12,aanbreken,[1]
13,aandachtig,[1]
14,aandeel,[-1]
15,aandoen,[-1]
16,aandoening,[-1]
17,aangeklaagd,[-1]
18,aangenaam,[1]
19,aangename,[1]
20,aangeprezen,[-1]
21,aangericht,[-1]
22,aangetaste,[-1]
23,aangevochten,[-1]
24,aangevuld,[1]
25,aangewezen,[1]
26,aanhanger,[-1]
27,aanhoudend,[-1]
28,aanhouding,[-1]
29,aanklacht,[-1]
30,aankloppen,[-1]
31,aankomen,[1]
32,aanleg,[-1]
33,aanleiding,[-1]
34,aanmoedigen,[1]
35,aanmoediging,[1]
36,aanname,[1]
37,aannemen,[1]
38,aanpassen,[1]
39,aanraden,[1]
40,aanranding,[-1]
41,aanrichten,[-1]
42,aanslag,[-1]
43,aanspannen,[-1]
44,aansporing,[-1]
45,aansprakelijk,[-1]
46,aansprakelijkheid,[-1]
47,aanspreken,[1]
48,aansteker,[1]
49,aanstichter,[-1]
50,aantasten,[-1]
51,aantrekkelijk,[1]
52,aantrekkelijke,[1]
53,aantrekkelijkheid,[1]
54,aantrekkingskracht,[1]
55,aanvaarden,[1]
56,aanvaarding,[1]
57,aanval,[-1]
58,aanvallen,[-1]
59,aanvallend,[-1]
60,aanvoeren,[1]
61,aanvullen,[1]
62,aanvulling,[1]
63,aanwijzing,[1]
64,aanzien,[1]
65,aard,[-1]
66,aardig,[1]
67,aards,[-1]
68,aarzelend,[-1]
69,aas,[-1]
70,abnormaal,[-1]
71,abrupt,[-1]
72,absurd,[-1]
73,abundant,[1]
74,accuraat,[1]
75,accurate,[1]
76,achtbaan,[-1]
77,achterblijven,[-1]
78,achterblijvende,[-1]
79,achterdeur,[-1]
80,achterdocht,[-1]
81,achterdochtig,[-1]
